,world_rank,institution,country,long,lat,web_addr,logo_source
50,50,Rutgers University-New Brunswick,USA,-74.45051,40.503796,www.rutgers.edu/,"upload.wikimedia.org/wikipedia/en/c/ce/Rutgers,_The_State_University_of_New_Jersey_logo.png"
51,51,University of Southern California,USA,-118.283858,34.021058,www.usc.edu/,lh6.googleusercontent.com/-c9dn91oPgno/AAAAAAAAAAI/AAAAAAAAB_0/VP8bNTCSFr4/s0-c-k-no-ns/photo.jpg
52,52,"Washington University, St. Louis",USA,-90.311639,38.648125,wustl.edu/,lh6.googleusercontent.com/-hj7te97akzY/AAAAAAAAAAI/AAAAAAAADZg/Y1W0rLm0eT0/s0-c-k-no-ns/photo.jpg
53,53,"University of California, Davis",USA,-121.751958,38.539895,www.ucdavis.edu/,lh4.googleusercontent.com/-GCqTj_toKU0/AAAAAAAAAAI/AAAAAAAABFc/jAzHYa77a-A/s0-c-k-no-ns/photo.jpg
54,54,University of Colorado Boulder,USA,-105.267061,40.004415,www.colorado.edu,lh3.googleusercontent.com/-WyTYrXLQPlA/AAAAAAAAAAI/AAAAAAAAAIA/6c_ueuzxk4M/s0-c-k-no-ns/photo.jpg
55,55,University of Edinburgh,United Kingdom,-3.189252,55.944564,www.ed.ac.uk/,upload.wikimedia.org/wikipedia/en/thumb/7/7a/University_of_Edinburgh_ceremonial_roundel.svg/1017px-University_of_Edinburgh_ceremonial_roundel.svg.png
56,56,Peking University,China,116.312198,39.986683,www.pku.edu.cn/,www.google.com.tw/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&ved=0ahUKEwi6xrzOr7XRAhUMbrwKHT26DaYQjBwIBA&url=https%3A%2F%2Fwww.unf.edu%2FuploadedImages%2Faa%2Fcoggin%2Fabroad%2Fsemester%2F2000px-Peking_University_seal.svg.png&psig=AFQjCNEv52Sf-09GdFipyBbhwFGTyLN-0g&ust=1484061920201836
57,57,National Taiwan University,Taiwan,121.539526,25.017214,www.ntu.edu.tw/,www.ntu.edu.tw/about/doc/Emblem72.jpg
58,58,University of Paris-Sud,France,2.176763,48.697685,www.u-psud.fr/en/,www.u-psud.fr/skins/skinzee/resources/img/og-image.png
59,59,Lomonosov Moscow State University,Russia,37.528262,55.704159,www.msu.ru/en/,stanislavpugach.com/wp-content/uploads/1993/06/logo-011.png
60,60,University of Florida,USA,-82.361195,29.638248,www.ufl.edu/,lh3.googleusercontent.com/-mFo27EtzsY8/AAAAAAAAAAI/AAAAAAAAB8w/n6CtdS5ZAVY/s0-c-k-no-ns/photo.jpg
61,61,Carnegie Mellon University,USA,-79.942914,40.444616,www.cmu.edu/,upload.wikimedia.org/wikipedia/en/thumb/b/bb/Carnegie_Mellon_University_seal.svg/1024px-Carnegie_Mellon_University_seal.svg.png
62,62,University of British Columbia,Canada,-123.246155,49.260626,www.ubc.ca/,media.licdn.com/mpr/mpr/shrink_200_200/AAEAAQAAAAAAAAfcAAAAJDMwMjRkMzQ3LWY5ZGYtNDRkZS1hZWVjLTNiNjVjNGVkNzAzMg.png
63,63,Pierre and Marie Curie University,France,2.357478,48.847089,www.upmc.fr/en/,media.licdn.com/mpr/mpr/shrink_200_200/AAEAAQAAAAAAAAjhAAAAJGU4MmU5MjVjLTc3YmMtNGUzNy04YjhhLTFjODkzZmY2ZTM0OQ.png
64,64,"University of California, Santa Barbara",USA,-119.848071,34.415461,www.ucsb.edu/,upload.wikimedia.org/wikipedia/en/thumb/4/49/UC_Santa_Barbara_seal.svg/1024px-UC_Santa_Barbara_seal.svg.png
65,65,National University of Singapore,Singapore,103.77633,1.296546,www.nus.edu.sg/,lh6.googleusercontent.com/-4lA_p7eDoUo/AAAAAAAAAAI/AAAAAAAAAFU/664wsbv3ECA/s0-c-k-no-ns/photo.jpg
66,66,Boston University,USA,-71.09984,42.349581,www.bu.edu,s-media-cache-ak0.pinimg.com/originals/87/72/32/877232d0c412b0b4c74c736d8a56bea2.gif
67,67,University of Manchester,United Kingdom,-2.234238,53.466748,www.manchester.ac.uk/,coursera-university-assets.s3.amazonaws.com/31/9e50fd81feadf1d272e274cba91f05/360x360-logo.png
68,68,University of Arizona,USA,-110.950769,32.232071,www.arizona.edu,lh4.googleusercontent.com/-ZNARJgYflmM/AAAAAAAAAAI/AAAAAAAABbU/YfkxQz2XmC4/s0-c-k-no-ns/photo.jpg
